"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAMSAP1",427.812866559625,0.0273726745321065,0.119923951550181,0.228250271762039,0.819451681517511,0.923841804116973
"UBAC1",264.440445092358,-0.386547788648633,0.126688259322152,-3.0511729399146,0.00227949238732912,0.0150417861908371
"NACC2",727.779686075388,-0.681293730313629,0.292375113845345,-2.33020424123377,0.0197953589305075,0.0783488498888579
"LHX3",12.8262931945056,1.3840450431002,1.27926422799232,1.08190709379275,0.279293812456239,0.50726342566476
"QSOX2",433.469310288406,-0.123940357602552,0.108524904506916,-1.14204530439972,0.25343518867289,0.477694720812374
"DKFZP434A062",0.370667734167413,0.702159729307979,1.61886973428419,0.43373454604638,0.664481217195196,NA
"GPSM1",92.8383727666938,0.324330010729461,0.257811108097452,1.25801410623031,0.208386654749771,0.422095499323232
"DNLZ",64.8198880228608,-0.657748286637508,0.338863962257364,-1.94103935471885,0.0522535040334988,0.162658411613499
"CARD9",22.4949930130213,1.53170959455583,0.610134094214896,2.51044747225083,0.0120578259682402,0.0537376187740718
"SNAPC4",207.046873038682,0.306313450410577,0.324724709541523,0.943301945956188,0.345526480814698,0.580249801818064
"PMPCA",494.063441228922,-0.452531781469488,0.191172682635642,-2.36713622067005,0.0179263334096811,0.072902613633347
"INPP5E",179.236688912677,0.0508058358694849,0.227017301473391,0.223797197569278,0.822915110682815,0.925481434445576
"SEC16A",942.643982904587,-0.108479236836181,0.174692998386633,-0.620970719136053,0.534618888976649,0.743753022949595
"C9orf163",15.7685344081102,0.787716016590967,0.553381367304446,1.42345959429024,0.15460296730449,0.347146821885296
"NOTCH1",259.914281343652,-0.0345382627799101,0.271171293329342,-0.127366958190382,0.898649966761051,0.962564709844015
"MIR4674",0.0864184563779933,-0.509879536815764,3.00317535619469,-0.169780141463944,0.865183044993629,NA
"EGFL7",229.128957648273,-0.533051347489848,0.417581371519982,-1.27652089830913,0.201771444123912,0.41298513220564
"MIR126",0,NA,NA,NA,NA,NA
"AGPAT2",406.939859158179,-0.432803685653136,0.361977643349145,-1.19566413452688,0.231827652750906,0.451144927133655
"FAM69B",133.66847324299,-0.0398090780862944,0.387656120743876,-0.102691731037045,0.918207636624242,0.970095191407091
"SNHG7",352.230173497743,0.391919753382898,0.296349417665943,1.32249206517654,0.186004349871896,0.39160536141843
"LCN10",3.81310393389943,-0.802543972368196,1.84047027645985,-0.436053753561232,0.662797729679749,0.829338411534971
"LCN6",0,NA,NA,NA,NA,NA
"LOC100128593",0.255021317667044,-1.49511292132143,3.00186917144726,-0.498060653522954,0.618441292181959,NA
"LCN15",0.635564940046562,-2.47583085859013,1.52762672861647,-1.620704071362,0.105081120058618,NA
"TMEM141",429.358023981874,-1.11815991160471,0.272692633102159,-4.10044048086114,4.12364486889483e-05,0.000605178013982326
"RABL6",780.540780217189,-0.654006408882297,0.116878236703698,-5.59562179689867,2.19832453970686e-08,1.30779253364094e-06
"MIR4292",1.91820304177231,0.288375035359458,0.656339010420726,0.439369031523213,0.6603941621234,0.828400400330427
"PHPT1",879.774827692358,-0.807981440493274,0.391831350578657,-2.0620643021546,0.0392016144357103,0.13123835000933
"MAMDC4",121.086159581843,-0.273866430430675,0.5627271279573,-0.486677142125368,0.626487146208157,0.806388619677862
"EDF1",1637.2042300785,-0.250412095516462,0.125023065167601,-2.00292718132266,0.0451851050766888,0.145860525265228
"TRAF2",438.74649507107,0.169131899095775,0.149640493251173,1.13025488904187,0.258368837070213,0.482812965842966
"MIR4479",0.947792113309871,-1.52480532520746,1.21194413000885,-1.25814819961736,0.208338164583038,0.422085944869627
"FBXW5",604.882215994319,-0.450761590830498,0.192641418923829,-2.3398996609796,0.0192889213187523,0.0768340383058662
